,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian,Total
25/05/2015,0,1,1,1,0,2,0,0,0,1,0,2,0,0,0,0,4,1,0,0,0,2,0,0,1,0,0,1,2,0,0,0,19
26/05/2015,2,0,1,2,1,0,1,0,0,0,0,3,0,0,0,2,1,0,3,0,0,3,0,1,1,0,0,0,0,0,0,1,22
27/05/2015,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,4,0,0,1,0,0,3,0,0,1,1,1,1,3,1,0,0,23
28/05/2015,0,0,2,1,0,4,2,1,0,0,0,2,0,1,2,4,0,0,1,0,0,2,0,0,1,1,0,0,0,0,1,0,25
29/05/2015,1,1,1,0,0,0,3,1,1,2,0,2,0,0,2,6,2,0,2,1,0,1,0,0,0,2,0,4,2,1,0,0,35
30/05/2015,0,2,2,2,0,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,17
31/05/2015,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,11
01/06/2015,0,1,0,0,1,2,1,0,0,0,0,1,0,1,1,5,1,0,1,1,0,0,0,0,2,1,0,0,2,0,0,0,21
02/06/2015,1,0,0,0,1,0,0,0,0,0,0,6,0,0,1,5,1,0,0,0,0,0,0,1,1,0,0,0,3,1,0,1,22
03/06/2015,0,1,0,1,0,1,0,1,0,0,0,4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1,17
04/06/2015,1,0,1,0,0,3,0,2,0,1,0,4,0,1,0,3,4,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,25
05/06/2015,0,0,0,0,0,0,1,1,0,0,0,7,0,1,2,3,1,0,0,1,1,2,0,1,1,2,0,0,3,1,0,2,30
06/06/2015,2,0,1,1,0,0,0,1,1,1,1,3,1,1,1,1,0,0,4,0,1,0,0,0,1,0,0,0,1,0,2,1,25
07/06/2015,0,0,0,1,0,2,0,1,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,14
08/06/2015,1,2,1,1,0,1,0,0,0,1,0,5,0,0,2,2,1,1,0,0,1,2,0,1,1,1,0,1,3,2,0,2,32
09/06/2015,1,0,1,0,0,3,0,0,0,0,0,5,0,0,1,4,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,3,24
10/06/2015,0,3,0,2,0,1,1,0,1,1,0,1,0,0,4,5,2,0,0,0,1,1,0,0,1,0,0,0,0,2,1,3,30
11/06/2015,1,1,0,0,0,2,0,1,0,0,0,4,0,1,1,4,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,21
12/06/2015,2,2,1,2,0,0,1,1,0,0,0,0,0,0,1,4,1,1,1,0,3,1,0,1,0,0,0,2,1,1,1,2,29
13/06/2015,0,1,0,2,0,0,0,0,0,0,1,0,1,0,3,2,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,1,17
14/06/2015,0,4,0,0,0,0,0,0,0,2,0,0,0,1,1,5,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,21
15/06/2015,2,0,3,0,0,1,0,1,0,0,0,3,0,0,1,1,1,1,0,0,1,2,0,2,0,0,0,0,1,0,0,1,21
16/06/2015,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,3,0,0,14
17/06/2015,0,1,1,0,0,1,0,1,0,0,0,4,0,0,0,2,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,2,20
18/06/2015,1,2,0,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,13
19/06/2015,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,3,0,0,1,0,0,0,0,0,4,0,0,0,1,0,1,2,19
20/06/2015,0,2,0,0,0,0,0,1,2,1,1,1,0,0,0,1,2,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,17
21/06/2015,0,1,0,1,0,2,1,0,0,1,0,0,0,0,0,1,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,14
22/06/2015,0,1,1,2,0,2,0,0,0,0,0,1,0,0,1,3,2,2,1,1,1,3,0,0,0,2,0,0,1,0,1,3,28
23/06/2015,1,0,0,0,0,0,1,1,0,0,1,2,0,0,2,6,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,3,23
24/06/2015,0,0,0,0,0,0,0,1,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,1,3,2,0,1,20
25/06/2015,0,1,1,0,1,0,1,0,0,1,0,4,0,1,2,2,1,0,2,0,2,1,0,4,0,1,0,0,0,0,3,1,29
